13078045 59 16586 1283 51158 45.18 248090 1.00 71630 10.00 154868 1.00 61363 41.42 286999 1.00 1354 20707.94 1551 1.00 22037 1.00 5184 463104.84 0000000000000000 pp500_production_2012
13078047 61 16586 854 28719 44.28 137039 1.00 39638 10.00 85592 1.00 34146 40.59 156853 1.00 762 20293.62 886 1.00 12206 1.00 2935 453839.03 0000000000000000 pp500_production_2012
13078048 62 16586 921 30163 43.62 141603 1.00 40861 10.00 88270 1.00 36122 39.98 162967 1.00 799 19992.01 940 1.00 12464 1.00 3122 447093.94 0000000000000000 pp500_production_2012
13078050 64 16586 816 25951 42.84 119414 1.00 34693 10.00 74542 1.00 31110 39.27 138322 1.00 694 19635.50 815 1.00 10437 1.00 2706 439121.06 0000000000000000 pp500_production_2012
13078051 65 16586 1508 61155 42.38 280756 1.00 82458 10.00 179029 1.00 71637 38.85 313924 1.00 1645 19425.53 1838 1.00 24743 1.00 6016 434425.44 0000000000000000 pp500_production_2012
13078052 66 16586 1374 56786 41.45 254594 1.00 74759 10.00 161879 1.00 66765 38.00 286926 1.00 1527 19000.05 1713 1.00 22196 1.00 5619 424910.16 0000000000000000 pp500_production_2012
13078054 67 16586 1175 48222 40.04 208921 1.00 61648 10.00 133295 1.00 56660 36.70 235125 1.00 1310 18352.50 1475 1.00 18208 1.00 4885 410428.62 0000000000000000 pp500_production_2012
13078055 68 16586 1075 44186 39.36 188816 1.00 56138 10.00 121573 1.00 51983 36.08 212192 1.00 1201 18040.62 1355 1.00 16072 1.00 4510 403453.78 0000000000000000 pp500_production_2012
13078057 70 16586 1062 43222 37.97 178775 1.00 53514 10.00 116397 1.00 50964 34.81 200497 1.00 1182 17404.29 1314 1.00 15002 1.00 4458 389223.16 0000000000000000 pp500_production_2012
13078058 71 16586 1196 48977 37.46 199915 1.00 59714 10.00 129208 1.00 57993 34.34 225458 1.00 1345 17170.69 1509 1.00 16667 1.00 5081 383999.12 0000000000000000 pp500_production_2012
13078060 72 16586 1192 49252 36.44 195770 1.00 58786 10.00 127488 1.00 58412 33.40 220271 1.00 1360 16702.16 1532 1.00 16430 1.00 5105 373521.00 0000000000000000 pp500_production_2012
13079020 76 16587 574 23815 63.67 161386 1.00 45173 10.00 98760 1.00 27650 58.37 182334 1.00 594 29183.00 660 1.00 16879 1.00 2274 652638.00 0000000000000000 pp500_production_2012
